city,lat,lng,country,iso2,admin,capital,population,population_proper
Mumbai,18.987807,72.836447,India,IN,Mahārāshtra,admin,18978000,12691836
Delhi,28.651952,77.231495,India,IN,Delhi,admin,15926000,7633213
Kolkata,22.562627,88.363044,India,IN,West Bengal,admin,14787000,4631392
Chennai,13.084622,80.248357,India,IN,Tamil Nādu ,admin,7163000,4328063
Bengalūru,12.977063,77.587106,India,IN,Karnātaka,admin,6787000,5104047
Hyderabad,17.384052,78.456355,India,IN,Andhra Pradesh,admin,6376000,3597816
Ahmadābād,23.025793,72.587265,India,IN,Gujarāt,minor,5375000,3719710
Hāora,22.576882,88.318566,India,IN,West Bengal,,4841638,1027672
Pune,18.513271,73.849852,India,IN,Mahārāshtra,,4672000,2935744
Surat,21.195944,72.830232,India,IN,Gujarāt,,3842000,2894504
Mardānpur,26.430066,80.267176,India,IN,Uttar Pradesh,,3162000,2823249
Rāmpura,26.884682,75.789336,India,IN,Rājasthān,,2917000,2711758
Lucknow,26.839281,80.923133,India,IN,Uttar Pradesh,admin,2695000,2472011
Nāra,21.203096,79.089284,India,IN,Mahārāshtra,,2454000,2228018
Patna,25.615379,85.101027,India,IN,Bihār,admin,2158000,1599920
Indore,22.717736,75.85859,India,IN,Madhya Pradesh,,2026000,1837041
Vadodara,22.299405,73.208119,India,IN,Gujarāt,,1756000,1409476
Bhopal,23.254688,77.402892,India,IN,Madhya Pradesh,admin,1727000,1599914
Coimbatore,11.005547,76.966122,India,IN,Tamil Nādu ,,1696000,959823
Ludhiāna,30.912042,75.853789,India,IN,Punjab,,1649000,1545368
Āgra,27.187935,78.003944,India,IN,Uttar Pradesh,,1592000,1430055
Kalyān,19.243703,73.135537,India,IN,Mahārāshtra,,1576614,1576614
Vishākhapatnam,17.704052,83.297663,India,IN,Andhra Pradesh,,1529000,1063178
Kochi,9.947743,76.253802,India,IN,Kerala,,1519000,604696
Nāsik,19.999963,73.776887,India,IN,Mahārāshtra,,1473000,1289497
Meerut,28.980018,77.706356,India,IN,Uttar Pradesh,,1398000,1223184
Farīdābād,28.411236,77.313162,India,IN,Haryāna,,1394000,1394000
Vārānasi,25.31774,83.005811,India,IN,Uttar Pradesh,,1352000,1164404
Ghāziābād,28.665353,77.439148,India,IN,Uttar Pradesh,,1341000,1199191
Āsansol,23.683333,86.983333,India,IN,West Bengal,,1328000,1328000
Jamshedpur,22.802776,86.185448,India,IN,Jharkhand,,1300000,616338
Madurai,9.917347,78.119622,India,IN,Tamil Nādu ,,1294000,909908
Jabalpur,23.174495,79.935903,India,IN,Madhya Pradesh,,1285000,1030168
Rājkot,22.291606,70.793217,India,IN,Gujarāt,,1260000,1099882
Dhanbād,23.801988,86.443244,India,IN,Jharkhand,,1246000,219636
Amritsar,31.622337,74.875335,India,IN,Punjab,,1212000,1092450
Warangal,17.978423,79.600209,India,IN,Andhra Pradesh,,1203853,865527
Allahābād,25.44478,81.843217,India,IN,Uttar Pradesh,,1201000,1073438
Srīnagar,34.085652,74.805553,India,IN,Jammu and Kashmīr,admin,1140000,975857
Aurangābād,19.880943,75.346739,India,IN,Mahārāshtra,,1113000,1016441
Bhilai,21.209188,81.428497,India,IN,Chhattīsgarh,,1097000,1097000
Solāpur,17.671523,75.910437,India,IN,Mahārāshtra,,1057000,961112
Ranchi,23.347768,85.338564,India,IN,Jharkhand,admin,1044000,846454
Jodhpur,26.26841,73.005943,India,IN,Rājasthān,,995000,921476
Guwāhāti,26.176076,91.762932,India,IN,Assam,,983000,17516
Chandigarh,30.736292,76.788398,India,IN,Chandīgarh,admin,979000,914371
Gwalior,26.229825,78.173369,India,IN,Madhya Pradesh,,978000,882458
Thiruvananthapuram,8.485498,76.949238,India,IN,Kerala,admin,954000,784153
Tiruchchirāppalli,10.815499,78.696513,India,IN,Tamil Nādu ,,951000,775484
Hubli,15.349955,75.138619,India,IN,Karnātaka,,890000,792804
Mysore,12.292664,76.638543,India,IN,Karnātaka,,887000,868313
Raipur,21.233333,81.633333,India,IN,Chhattīsgarh,admin,875000,679995
Salem,11.651165,78.158672,India,IN,Tamil Nādu ,,873000,778396
Bhubaneshwar,20.272411,85.833853,India,IN,Odisha,admin,844000,762243
Kota,25.182544,75.839065,India,IN,Rājasthān,,827000,763088
Bhāvnagar,21.774455,72.152496,India,IN,Gujarāt,,554978,464602
Ujjain,23.182387,75.776433,India,IN,Madhya Pradesh,,513350,457346
Ahmadnagar,19.094571,74.738432,India,IN,Mahārāshtra,,391760,367140
Bhīlwāra,25.347071,74.640812,India,IN,Rājasthān,,389911,326431
Nizāmābād,18.673151,78.10008,India,IN,Andhra Pradesh,,388505,305438
Parbhani,19.268553,76.770807,India,IN,Mahārāshtra,,378326,289629
Shillong,25.573987,91.896807,India,IN,Meghālaya,admin,375527,354325
Lātūr,18.399487,76.584252,India,IN,Mahārāshtra,,374394,348967
Rājapālaiyam,9.451111,77.556121,India,IN,Tamil Nādu ,,369991,307959
Bhāgalpur,25.244462,86.971832,India,IN,Bihār,,361548,361548
Muzaffarnagar,29.470914,77.703324,India,IN,Uttar Pradesh,,349706,349706
New Delhi,28.6,77.2,India,IN,Delhi,primary,317797,317797
Pānīpat,29.387471,76.968246,India,IN,Haryāna,,292808,292808
Bhuj,23.253972,69.669281,India,IN,Gujarāt,,289429,289429
Tirupati,13.635505,79.419888,India,IN,Andhra Pradesh,,287035,250821
Pathānkot,32.274842,75.652865,India,IN,Punjab,,253987,174306
Mirzāpur,25.144902,82.565335,India,IN,Uttar Pradesh,,245817,233691
Puducherry,11.933812,79.829792,India,IN,Puducherry,admin,227411,227411
Agartala,23.836049,91.279386,India,IN,Tripura,admin,203264,203264
Gurgaon,28.460105,77.026352,India,IN,Haryāna,,197340,197340
Khānāpur,21.273716,76.117376,India,IN,Mahārāshtra,,197233,197233
Nandyāl,15.477994,78.483605,India,IN,Andhra Pradesh,,188654,16533
Shimla,31.104423,77.166623,India,IN,Himāchal Pradesh,admin,173503
Navsāri,20.85,72.916667,India,IN,Gujarāt,,163000,163000
Tiruvannāmalai,12.230204,79.072954,India,IN,Tamil Nādu
Panaji,15.498289,73.824541,India,IN,Goa,admin,65586,65586
Daman,20.414315,72.83236,India,IN,Damān and Diu,admin,39737,39737
Silvassa,20.273855,72.996728,India,IN,Dādra and Nagar Haveli,admin,27359,27359
Diu,20.715115,70.987952,India,IN,Damān and Diu,,23779,23779
Dispur,26.135638,91.800688,India,IN,Assam,admin,16140,16140
